"sourceRow","originalAccount","normalizedAccount","field","originalValue","normalizedValue","reasonCode","reasonDescription","suggestedAction","severity"
"1509","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1510","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1511","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1512","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1513","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1514","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1515","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1516","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1517","1220","1220","installation_year","0","","YEAR_INVALID_FORMAT","El año no es un entero dentro del rango 1900–año siguiente.","Importar NULL y revisar el valor original conservado en metadata.","warning"
"1518","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1519","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1520","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1521","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1522","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1523","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1524","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1525","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1526","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1527","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1528","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1529","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1530","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1531","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1532","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1533","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1534","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1535","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
